,cases_recovered,cases_active,cases_cluster,cases_pvax,cases_fvax,total_testing,deaths_new,icu_covid,daily_cumul
0,3331,30572,2483.0,0.0,0.0,75122,12,270,60
1,3752,28738,705.0,0.0,0.0,85929,13,274,1206
2,3085,27903,1136.0,0.0,0.0,80221,10,255,5322
3,3320,26937,1100.0,0.0,0.0,63567,10,257,12046
4,3251,26118,1404.0,0.0,0.0,59526,9,258,18748
5,2486,25456,962.0,0.0,0.0,61120,5,248,34124
6,2528,24474,604.0,0.0,1.0,64907,6,251,55792
7,2276,23939,867.0,1.0,0.0,66232,7,243,78485
8,2922,23077,897.0,1.0,0.0,67529,5,233,98044
9,3275,21948,1021.0,3.0,0.0,58745,6,229,112376
10,2548,21076,650.0,2.0,0.0,54309,7,201,128154
11,2506,20248,649.0,2.0,0.0,40996,3,196,140692
12,2076,19695,361.0,7.0,0.0,53056,8,212,167820
13,2345,18622,530.0,3.0,0.0,59586,9,195,197804
14,2137,17926,765.0,2.0,0.0,58954,5,184,226525
15,2104,17465,664.0,19.0,0.0,59556,9,179,253000
16,2042,16995,444.0,5.0,0.0,53899,3,180,279043
17,1830,16632,518.0,17.0,0.0,46279,3,183,295880
18,1782,16200,431.0,12.0,1.0,34321,4,177,305954
19,1973,15431,430.0,15.0,1.0,51747,3,181,326239
20,1365,15126,426.0,13.0,0.0,60072,5,181,351697
21,1346,14997,607.0,14.0,0.0,62437,2,184,372544
22,1503,14706,488.0,13.0,0.0,61635,3,190,390643
23,1996,14285,944.0,15.0,0.0,59016,2,189,405166
24,1585,14366,744.0,21.0,0.0,54203,4,185,418938
25,1247,14441,632.0,15.0,0.0,37652,4,183,434433
26,1495,14060,597.0,6.0,0.0,56293,5,183,458686
27,1058,14384,762.0,20.0,0.0,55388,1,183,487826
28,1083,14565,614.0,17.0,0.0,61034,2,185,516887
29,1491,14432,591.0,17.0,0.0,59480,2,180,542641
30,1509,14197,509.0,10.0,1.0,53952,1,190,559339
31,1257,14131,494.0,12.0,0.0,46572,2,204,575372
32,1127,14303,650.0,12.0,0.0,36063,4,199,591896
33,1097,14143,345.0,12.0,0.0,50996,5,199,626932
34,1148,14122,550.0,15.0,1.0,56717,4,198,667712
35,1070,14525,849.0,20.0,0.0,59732,8,199,704972
36,1377,14323,462.0,8.0,0.0,57913,6,196,747271
37,1442,14173,551.0,7.0,0.0,60161,5,195,777711
38,1449,14357,898.0,9.0,0.0,48119,3,203,794965
39,1270,14430,654.0,8.0,0.0,36861,2,202,809901
40,1294,14202,367.0,10.0,0.0,50952,7,211,838471
41,1412,14087,563.0,10.0,1.0,60019,5,218,871080
42,1199,14025,450.0,17.0,0.0,61476,4,240,901971
43,1175,14129,438.0,11.0,1.0,62874,4,230,928769
44,1247,14729,681.0,31.0,2.0,58019,5,231,950290
45,1248,14988,466.0,13.0,2.0,51970,8,231,965867
46,1216,15505,742.0,15.0,3.0,39309,8,228,989017
47,1052,15759,456.0,9.0,0.0,57219,4,245,1028238
48,1290,16231,668.0,7.0,2.0,70929,12,241,1052010
49,1485,16630,689.0,16.0,4.0,68759,8,248,1080627
50,1259,17515,896.0,10.0,5.0,70526,10,259,1107861
51,1524,18536,990.0,17.0,3.0,71601,2,281,1127389
52,1832,19024,659.0,22.0,3.0,65236,5,273,1137020
53,1427,19784,791.0,17.0,3.0,51507,8,281,1146859
54,1402,20450,628.0,13.0,3.0,65131,8,295,1179803
55,1592,21189,598.0,15.0,3.0,80247,3,314,1213033
56,1910,21610,759.0,15.0,8.0,81258,11,321,1240558
57,2541,21938,983.0,29.0,5.0,81947,7,327,1269971
58,2341,22429,751.0,23.0,13.0,85267,8,328,1288844
59,2292,22846,671.0,28.0,12.0,72372,11,338,1300267
60,1853,23662,846.0,25.0,7.0,58374,10,345,1315043
61,1803,24621,806.0,23.0,7.0,70955,13,378,1345265
62,2019,25325,721.0,22.0,15.0,86586,13,390,1379878
63,1822,26631,677.0,28.0,16.0,88294,15,406,1419467
64,1943,27998,690.0,37.0,11.0,81098,15,399,1431950
65,2640,29125,1069.0,39.0,19.0,82142,14,418,1458516
66,2462,29528,873.0,40.0,15.0,62700,15,436,1463894
67,2698,30228,1084.0,38.0,12.0,57171,12,442,1479605
68,2068,30637,737.0,23.0,8.0,74433,18,452,1530736
69,2334,31409,839.0,35.0,22.0,94071,23,442,1580482
70,2304,32819,743.0,48.0,22.0,94134,17,453,1635365
71,2709,33633,924.0,44.0,22.0,92432,19,497,1691091
72,3449,34651,1132.0,62.0,17.0,87377,22,521,1738776
73,2719,36422,993.0,52.0,16.0,79969,25,552,1765790
74,3211,36923,856.0,43.0,25.0,67096,26,555,1798178
75,3454,37241,782.0,63.0,22.0,63499,17,616,1859593
76,2848,38322,1001.0,46.0,32.0,102452,22,636,1908453
77,3124,39913,1004.0,61.0,26.0,83690,39,628,1926569
78,3347,41383,1062.0,77.0,29.0,55026,27,655,1926687
79,4190,41262,994.0,89.0,24.0,47225,34,664,1926755
80,3432,41922,999.0,92.0,34.0,63228,44,677,1937650
81,3990,41668,914.0,81.0,24.0,67795,36,690,1947956
82,2784,43279,852.0,85.0,33.0,94987,45,756,2008497
83,3497,44589,867.0,87.0,47.0,114324,47,755,2086456
84,3516,47096,1547.0,101.0,64.0,120285,46,823,2170539
85,3916,49940,1594.0,117.0,73.0,120930,59,875,2251568
86,4508,51865,1243.0,106.0,88.0,126187,50,968,2312506
87,4694,53407,1318.0,127.0,84.0,116857,50,974,2358866
88,3587,56727,1586.0,135.0,100.0,110845,49,1009,2405170
89,3452,59718,1481.0,117.0,92.0,111363,61,1046,2500762
90,3789,63144,1388.0,130.0,96.0,128861,60,1129,2601017
91,4665,65866,1288.0,125.0,107.0,122419,63,1107,2623210
92,4598,69062,1495.0,147.0,127.0,123492,59,1126,2731379
93,4814,72433,1842.0,150.0,113.0,133912,61,1161,2805598
94,5527,75851,1704.0,163.0,144.0,118415,98,1154,2871567
95,5121,77620,1366.0,141.0,94.0,96147,79,1157,2934236
96,5251,79096,1331.0,138.0,102.0,107337,67,1182,3030376
